tahun,bulan,curah_hujan,banyak_hari_hujan,Banjir
2011,1,145.6,25,1
2011,2,230.7,18,1
2011,3,147.7,18,1
2011,4,106.8,16,1
2011,5,198.9,12,0
2011,6,70.5,10,0
2011,7,18.1,7,0
2011,8,1.5,2,0
2011,9,52.6,2,0
2011,10,80.1,12,0
2011,11,44.6,14,0
2011,12,177,17,1
2012,1,275.1,25,1
2012,2,157.9,17,1
2012,3,173.6,18,1
2012,4,196.2,14,1
2012,5,118,11,1
2012,6,67.2,4,0
2012,7,13.6,1,0
2012,8,2.4,1,0
2012,9,16.2,4,0
2012,10,44.3,5,0
2012,11,251.9,19,1
2012,12,254,21,1
2013,1,621.9,23,1
2013,2,146.6,20,1
2013,3,184.4,16,1
2013,4,204.3,18,1
2013,5,101,12,0
2013,6,256.7,19,1
2013,7,256.7,19,1
2013,8,61.4,8,0
2013,9,49.5,5,0
2013,10,110.1,9,0
2013,11,196.6,14,1
2013,12,338.9,23,1
2014,1,1075,26,1
2014,2,689,22,1
2014,3,174,20,1
2014,4,168,16,1
2014,5,47,10,0
2014,6,174,12,0
2014,7,214,16,1
2014,8,39,4,0
2014,9,0,1,0
2014,10,52,4,0
2014,11,65,11,0
2014,12,211,15,0
